Entry,Ligand,r_psp_IFDScore,r_i_glide_gscore,r_psp_Prime_Energy,File
1,1,-169.952563848,-5.30986951111,-3292.85388675,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-7_pv-1.maegz
2,1,-170.077207024,-5.59159037258,-3289.71233304,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-10_pv-1.maegz
3,1,-170.521768919,-6.0751934372,-3288.93150964,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-8_pv-1.maegz
4,1,-170.202218191,-5.79375509096,-3288.169262,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-3_pv-1.maegz
5,1,-170.622272677,-6.22801278637,-3287.88519782,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-6_pv-1.maegz
6,1,-169.667095446,-5.27892859546,-3287.76333701,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-15_pv-1.maegz
7,1,-169.588435582,-5.23886628093,-3286.99138602,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-17_pv-1.maegz
8,1,-169.559139648,-5.26756101692,-3285.83157263,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-14_pv-1.maegz
9,1,-169.021628437,-4.88395369863,-3282.75349477,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-1_pv-1.maegz
10,1,-168.985185887,-4.85322286209,-3282.6392605,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-9_pv-1.maegz
11,1,-170.253886265,-6.12339902867,-3282.60974472,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-19_pv-1.maegz
12,1,-169.64443817,-5.52111234818,-3282.46651643,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-4_pv-1.maegz
13,1,-169.56254319,-5.45391661128,-3282.17253157,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-18_pv-1.maegz
14,1,-168.912934475,-4.98061514519,-3278.6463866,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-16_pv-1.maegz
15,1,-168.938984416,-5.20339935054,-3274.71170131,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-5_pv-1.maegz
16,1,-169.526822895,-5.86108854611,-3273.31468697,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-2_pv-1.maegz
17,1,-169.343358779,-5.77541423057,-3271.35889097,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-12_pv-1.maegz
18,1,-168.612128867,-5.04705625716,-3271.3014522,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-11_pv-1.maegz
19,1,-169.001599744,-5.48405350215,-3270.35092484,/Users/albaness/Documents/Schrodinger/InducedFit_RO-OH_102518_hal/InducedFit_RO-OH_102518_hal_workdir/glide_docking_dir_2/InducedFit_RO-OH_102518_hal_rec-1_pv-13_pv-1.maegz
